Name,Age,Team,Year,Season,City,Sport,Medal
Adrien Duvillard,21,France,1956,Winter,Cortina d'Ampezzo,Alpine Skiing,NA
Aleksandr Andreyevich Filatov,27,Soviet Union,1956,Winter,Cortina d'Ampezzo,Alpine Skiing,NA
Andreas Pantelidis,21,Greece,1984,Winter,Sarajevo,Alpine Skiing,NA
Anna Erika Hansson,20,Sweden,1994,Winter,Lillehammer,Alpine Skiing,NA
Brynhild Grasmoen ,19,United States,1948,Winter,Sankt Moritz,Alpine Skiing,NA
Chiaki Ishioka,26,Japan,1988,Winter,Calgary,Alpine Skiing,NA
"Chimene Mary ""Chemmy"" Alcott",23,Great Britain,2006,Winter,Torino,Alpine Skiing,NA
Clemente Tellechea,27,Argentina,1960,Winter,Squaw Valley,Alpine Skiing,NA
"Erik Olof Anders ""Olle"" Roln",27,Sweden,1972,Winter,Sapporo,Alpine Skiing,NA
Felice De Nicolo,21,Italy,1964,Winter,Innsbruck,Alpine Skiing,NA
Georgette Miller-Thiollire,27,France,1948,Winter,Sankt Moritz,Alpine Skiing,NA
Gumundur Gumundsson,27,Iceland,1948,Winter,Sankt Moritz,Alpine Skiing,NA
Guy Prillat Merceroz,19,France,1960,Winter,Squaw Valley,Alpine Skiing,NA
Imre Csk,23,Hungary,1936,Winter,Garmisch-Partenkirchen,Alpine Skiing,NA
Irene Epple,22,West Germany,1980,Winter,Lake Placid,Alpine Skiing,NA
Jana Gantnerov-oltsov,16,Czechoslovakia,1976,Winter,Innsbruck,Alpine Skiing,NA
Janica Kosteli,24,Croatia,2006,Winter,Torino,Alpine Skiing,NA
Jean-Luc Crtier,25,France,1992,Winter,Albertville,Alpine Skiing,NA
Johnny Albertsen,32,Denmark,2010,Winter,Vancouver,Alpine Skiing,NA
Jorge Pujol Planella,24,Spain,1992,Winter,Albertville,Alpine Skiing,NA
Julien Castellini,18,Monaco,1994,Winter,Lillehammer,Alpine Skiing,NA
Kanet Sucharitakul,21,Thailand,2014,Winter,Sochi,Alpine Skiing,NA
Konstantin Anatolyevich Sats,23,Russia,2006,Winter,Torino,Alpine Skiing,NA
Lasse Kjus ,35,Norway,2006,Winter,Torino,Alpine Skiing,NA
Lotte Smiseth Sejersted,18,Norway,2014,Winter,Sochi,Alpine Skiing,NA
Lucile Wheeler,21,Canada,1956,Winter,Cortina d'Ampezzo,Alpine Skiing,Bronze
"Ludwig ""Luggi"" Leitner",23,Germany,1964,Winter,Innsbruck,Alpine Skiing,NA
Luis Alberto Cristobal Hernndez,23,Spain,1994,Winter,Lillehammer,Alpine Skiing,NA
Mara Jos Rienda Contreras,18,Spain,1994,Winter,Lillehammer,Alpine Skiing,NA
Marc Berthod,22,Switzerland,2006,Winter,Torino,Alpine Skiing,NA
"Mathilde ""Hilde"" Gerg",22,Germany,1998,Winter,Nagano,Alpine Skiing,NA
Mattias Hargin,28,Sweden,2014,Winter,Sochi,Alpine Skiing,NA
Megan Jean McJames,26,United States,2014,Winter,Sochi,Alpine Skiing,NA
Nancy Catherine Greene,20,Canada,1964,Winter,Innsbruck,Alpine Skiing,NA
Noelle Barahona Neder,19,Chile,2010,Winter,Vancouver,Alpine Skiing,NA
Pablo Rosenkjer,17,Argentina,1948,Winter,Sankt Moritz,Alpine Skiing,NA
Patrick Brachner,22,Azerbaijan,2014,Winter,Sochi,Alpine Skiing,NA
Pernilla Christina Wiberg,27,Sweden,1998,Winter,Nagano,Alpine Skiing,NA
Rafael Caas,22,Chile,1976,Winter,Innsbruck,Alpine Skiing,NA
Regina Sackl,20,Austria,1980,Winter,Lake Placid,Alpine Skiing,NA
Roger Vidosa Riba,25,Andorra,2010,Winter,Vancouver,Alpine Skiing,NA
Rosemary Sparrow,22,Great Britain,1948,Winter,Sankt Moritz,Alpine Skiing,NA
Sarah Margareta Thomasson,26,Sweden,1952,Winter,Oslo,Alpine Skiing,NA
Silvia Stump,18,Switzerland,1972,Winter,Sapporo,Alpine Skiing,NA
Spencer Pession,22,Great Britain,1994,Winter,Lillehammer,Alpine Skiing,NA
Stefan Asenov Georgiev,24,Bulgaria,2002,Winter,Salt Lake City,Alpine Skiing,NA
Stuart Fitzsimmons,19,Great Britain,1976,Winter,Innsbruck,Alpine Skiing,NA
Tom Stiansen,21,Norway,1992,Winter,Albertville,Alpine Skiing,NA
Toni Brgler,22,Switzerland,1980,Winter,Lake Placid,Alpine Skiing,NA
Vicente Tomas Hernndez,22,Spain,1992,Winter,Albertville,Alpine Skiing,NA
Wendy Holdener,20,Switzerland,2014,Winter,Sochi,Alpine Skiing,NA
Xavier F. Ubeira Rubio,23,Spain,1994,Winter,Lillehammer,Alpine Skiing,NA
Ai Ouchi,21,Japan,1996,Summer,Atlanta,Archery,NA
Anastasiya Vladyslavivna Pavlova,21,Ukraine,2016,Summer,Rio de Janeiro,Archery,NA
Aurora Gonzala Bretn Gmez,42,Mexico,1992,Summer,Barcelona,Archery,NA
Brady Lee Ellison,23,United States,2012,Summer,London,Archery,NA
Denis Canuel,25,Canada,1988,Summer,Seoul,Archery,NA
Frdric Adolphe Petit,43,France,1900,Summer,Paris,Archery,Bronze
"George Philip ""Phil"" Bryant",26,Boston Archers,1904,Summer,St. Louis,Archery,Bronze
Kirstin Jean Lewis,28,South Africa,2004,Summer,Athina,Archery,NA
Loedmila Arzjannikova,34,Unified Team,1992,Summer,Barcelona,Archery,Bronze
Ma Shaorong,17,China,1988,Summer,Seoul,Archery,NA
Michelle Tremelling,31,Australia,2000,Summer,Sydney,Archery,NA
Mohamad Khairul Anuar,24,Malaysia,2016,Summer,Rio de Janeiro,Archery,NA
Oleksandr Oleksiyovych Serdiuk,30,Ukraine,2008,Summer,Beijing,Archery,NA
"Richard Lee ""Rick"" McKinney",38,United States,1992,Summer,Barcelona,Archery,NA
Samo Medved,34,Slovenia,1996,Summer,Atlanta,Archery,NA
Veronique Marrier D'Unienville,41,Mauritius,2008,Summer,Beijing,Archery,NA
Abbas Mohamed,24,Nigeria,1988,Summer,Seoul,Athletics,NA
Abdullah Hussein Al-Dosari,27,Bahrain,1992,Summer,Barcelona,Athletics,NA
Aida O. Molinos Plares,23,Philippines,1964,Summer,Tokyo,Athletics,NA
Alex Wright,25,Ireland,2016,Summer,Rio de Janeiro,Athletics,NA
Altevir Silva de Arajo Filho,24,Brazil,1980,Summer,Moskva,Athletics,NA
Amanuel Mesel Tikue,25,Eritrea,2016,Summer,Rio de Janeiro,Athletics,NA
Ana Maria Guerreiro Dias,26,Portugal,2000,Summer,Sydney,Athletics,NA
Andrs Espinosa Prez,37,Mexico,2000,Summer,Sydney,Athletics,NA
Andrs Ruz Malaver,28,Colombia,2016,Summer,Rio de Janeiro,Athletics,NA
Anselmo Gomes da Silva,27,Brazil,2008,Summer,Beijing,Athletics,NA
"Anthony ""Tony"" Sharpe",23,Canada,1984,Summer,Los Angeles,Athletics,Bronze
Anthony Wilson,23,Canada,1992,Summer,Barcelona,Athletics,NA
Archfell Musango,21,Zambia,1980,Summer,Moskva,Athletics,NA
Arthur Delaender,29,Belgium,1920,Summer,Antwerpen,Athletics,NA
Barbara Bishop (Bovell),16,Barbados,1972,Summer,Munich,Athletics,NA
Barbara Ellen Wilson-Jordan,24,Australia,1976,Summer,Montreal,Athletics,NA
Barnab Jolicoeur,29,Mauritius,1996,Summer,Atlanta,Athletics,NA
Betty Lindsay McKinnon,23,Australia,1948,Summer,London,Athletics,Silver
Beverly McDonald (Stewart),30,Jamaica,2000,Summer,Sydney,Athletics,Bronze
Birgit Clarius (He),27,Germany,1992,Summer,Barcelona,Athletics,NA
Bo Henning Gustafsson,29,Sweden,1984,Summer,Los Angeles,Athletics,Silver
Britta Madelein Svensson (Strmqvist),23,Sweden,1992,Summer,Barcelona,Athletics,NA
Bror Henry Lindblad,22,Sweden,1928,Summer,Amsterdam,Athletics,NA
"Catherine Ann ""Cathy"" Sulinski",26,United States,1984,Summer,Los Angeles,Athletics,NA
Catherine Capdevielle,18,France,1956,Summer,Melbourne,Athletics,NA
Chen Jingwen,18,China,2008,Summer,Beijing,Athletics,NA
Cheung Suet Yee,23,Hong Kong,1988,Summer,Seoul,Athletics,NA
Curtis Alexander Robb,20,Great Britain,1992,Summer,Barcelona,Athletics,NA
Damian Warner,22,Canada,2012,Summer,London,Athletics,NA
Dana Velkov,35,Slovakia,2016,Summer,Rio de Janeiro,Athletics,NA
Daniele Meucci,26,Italy,2012,Summer,London,Athletics,NA
"David George ""Dave"" Bailey",23,Canada,1968,Summer,Mexico City,Athletics,NA
David George Brownlow Cecil Burghley,27,Great Britain,1932,Summer,Los Angeles,Athletics,NA
Derrick Atkins,24,Bahamas,2008,Summer,Beijing,Athletics,NA
"Dominick Steven ""Dom"" King",33,Great Britain,2016,Summer,Rio de Janeiro,Athletics,NA
"Donald Forbes ""Don"" Macgregor",33,Great Britain,1972,Summer,Munich,Athletics,NA
Douglas Zinkala,24,Zambia,1968,Summer,Mexico City,Athletics,NA
Edward Boyce,23,Great Britain,1936,Summer,Berlin,Athletics,NA
Eleanor McKenzie (Miller),21,Canada,1952,Summer,Helsinki,Athletics,NA
Eric Victor Dunbar,22,Great Britain,1920,Summer,Antwerpen,Athletics,NA
Erick Bernab Barrondo Garca,21,Guatemala,2012,Summer,London,Athletics,NA
Erika Pollmann (Rost),20,Germany,1964,Summer,Tokyo,Athletics,NA
Erin Hinano Tierney,18,Cook Islands,1988,Summer,Seoul,Athletics,NA
"Eugnius Joannes ""mile"" Langenraedt",20,Belgium,1928,Summer,Amsterdam,Athletics,NA
Eva Lehock-Gleskov,29,Czechoslovakia,1972,Summer,Munich,Athletics,NA
Evelyn Ashford (Washington),35,United States,1992,Summer,Barcelona,Athletics,NA
Evelyn Carolina de Oliveira dos Santos,27,Brazil,2012,Summer,London,Athletics,NA
Fermn Cacho Ruiz,27,Spain,1996,Summer,Atlanta,Athletics,Silver
Fernando Eugnio Pacheco Mamede,19,Portugal,1972,Summer,Munich,Athletics,NA
Fidel Solrzano,26,Ecuador,1988,Summer,Seoul,Athletics,NA
Foy Draper,22,United States,1936,Summer,Berlin,Athletics,Gold
Friederike Mhlenkamp,23,Germany,2016,Summer,Rio de Janeiro,Athletics,NA
Gabriella Dorio (Spigarolo),19,Italy,1976,Summer,Montreal,Athletics,NA
"Georges Dsir ""Go"" Malfait",29,France,1908,Summer,London,Athletics,NA
Georgy Gavrilovich Ivakin,23,Soviet Union,1952,Summer,Helsinki,Athletics,NA
